OBJECTID_1 *,Shape *,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area
73,Polygon,Amigna,ET040810,<Null>,<Null>,<Null>,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.761999,0.105632
74,Polygon,Amir Nur,ET130107,<Null>,<Null>,<Null>,Harari,ET1301,Harari,ET13,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.151453,0.000975
75,Polygon,Amuru,ET041909,<Null>,<Null>,<Null>,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.012986,0.103751
76,Polygon,Ana Sora,ET041411,<Null>,<Null>,<Null>,Guji,ET0414,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.403761,0.062217
77,Polygon,Analemmo,ET070208,<Null>,<Null>,<Null>,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.912904,0.018377
78,Polygon,Anchar,ET040906,<Null>,<Null>,<Null>,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.440107,0.062165
79,Polygon,Anderacha,ET070801,<Null>,<Null>,<Null>,Sheka,ET0708,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.393661,0.061941
80,Polygon,Aneded,ET030617,<Null>,<Null>,<Null>,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.79979,0.056302
81,Polygon,Anfilo,ET041807,<Null>,<Null>,<Null>,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.165405,0.129026
82,Polygon,Angacha,ET070302,<Null>,<Null>,<Null>,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.664765,0.012542
83,Polygon,Angolelana Tera,ET030513,<Null>,<Null>,<Null>,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.033676,0.066485
84,Polygon,Angot,ET030313,<Null>,<Null>,<Null>,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.253468,0.048028
85,Polygon,Ankasha,ET030903,<Null>,<Null>,<Null>,Awi,ET0309,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.218055,0.044456
86,Polygon,Ankober,ET030515,<Null>,<Null>,<Null>,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.253322,0.058307
87,Polygon,Antsokiya,ET030507,<Null>,<Null>,<Null>,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.192892,0.030766
88,Polygon,Arada,ET140109,<Null>,<Null>,<Null>,Region 14,ET1401,Addis Ababa,ET14,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.168017,0.000816
89,Polygon,Ararso,ET050395,<Null>,<Null>,<Null>,Jarar,ET0503,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.227509,0.079361
90,Polygon,Arba Minch town,ET071021,<Null>,<Null>,<Null>,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.271391,0.002726
91,Polygon,Arba Minch Zuria,ET071015,<Null>,<Null>,<Null>,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.242081,0.121698
92,Polygon,Arbegona,ET160003,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.821378,0.018573
93,Polygon,Areka town,ET070614,<Null>,<Null>,<Null>,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.231906,0.001217
94,Polygon,Arero,ET041208,<Null>,<Null>,<Null>,Borena,ET0412,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.462943,0.366803
95,Polygon,Argoba,ET030401,<Null>,<Null>,<Null>,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.06259,0.026064
96,Polygon,Arguba,ET020306,<Null>,<Null>,<Null>,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.341898,0.030059
97,Polygon,Aroresa,ET160009,<Null>,<Null>,<Null>,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.08691,0.033268
98,Polygon,Arsi Negele,ET041703,<Null>,<Null>,<Null>,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.39404,0.10541
99,Polygon,Arsi Negele town,ET041799,<Null>,<Null>,<Null>,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.294564,0.00257
100,Polygon,Artuma Fursi,ET031004,<Null>,<Null>,<Null>,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.173551,0.050646
101,Polygon,Asayita,ET020103,<Null>,<Null>,<Null>,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.809433,0.134843
102,Polygon,Asayita town,ET020111,<Null>,<Null>,<Null>,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.373937,0.004163
103,Polygon,Aseko,ET040802,<Null>,<Null>,<Null>,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.095088,0.044534
104,Polygon,Asela town,ET040825,<Null>,<Null>,<Null>,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.249074,0.001393
105,Polygon,Aseliso,ET150201,<Null>,<Null>,<Null>,Dire Dawa rural,ET1502,Dire Dawa,ET15,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.485743,0.008446
106,Polygon,Asgede,ET010105,<Null>,<Null>,<Null>,North Western,ET0101,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.325931,0.131168
107,Polygon,Assagirt,ET030514,<Null>,<Null>,<Null>,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.282475,0.041147
108,Polygon,Assosa,ET060303,<Null>,<Null>,<Null>,Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.100059,0.240844
109,Polygon,Ataye town,ET030598,<Null>,<Null>,<Null>,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.100422,0.000498
110,Polygon,Atote Ulo,ET071403,<Null>,<Null>,<Null>,Halaba,ET0714,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.590015,0.012122
111,Polygon,Atsbi,ET010307,<Null>,<Null>,<Null>,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.369176,0.050476
112,Polygon,Atsbi town,ET010315,<Null>,Atsbi  Endasilassie Town,<Null>,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.037618,0.000084
113,Polygon,Aw-Bare,ET050205,<Null>,<Null>,<Null>,Fafan,ET0502,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.455962,0.147853
114,Polygon,Awabel,ET030612,<Null>,<Null>,<Null>,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.705443,0.066894
115,Polygon,Aware,ET050303,<Null>,<Null>,<Null>,Jarar,ET0503,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.035999,0.22626
116,Polygon,Awash,ET020302,<Null>,<Null>,<Null>,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.615319,0.083475
117,Polygon,Awash town,ET020396,<Null>,<Null>,<Null>,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.145336,0.000968
118,Polygon,Aweday town,ET041099,<Null>,<Null>,<Null>,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.371415,0.004866
119,Polygon,Awra (AF),ET020401,<Null>,<Null>,<Null>,Fanti /Zone 4,ET0204,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.545828,0.190347
120,Polygon,Awra (TG),ET010507,<Null>,<Null>,<Null>,Western,ET0105,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.590209,0.071174
121,Polygon,Axum town,ET010213,<Null>,<Null>,<Null>,Central,ET0102,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.155134,0.001518
122,Polygon,Ayehu Guwagusa,ET030908,<Null>,<Null>,<Null>,Awi,ET0309,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.983576,0.041799
123,Polygon,Ayira,ET040107,<Null>,<Null>,<Null>,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.321841,0.042299
124,Polygon,Ayisha,ET050101,<Null>,<Null>,<Null>,Siti,ET0501,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.827263,0.444115
125,Polygon,Aykel town,ET031199,<Null>,<Null>,<Null>,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.072351,0.000249
126,Polygon,Ayun,ET051001,<Null>,<Null>,<Null>,Nogob,ET0510,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.671184,0.147377
127,Polygon,Babile (OR),ET041004,<Null>,<Null>,<Null>,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.965628,0.400948
128,Polygon,Babile (SM),ET050203,<Null>,<Null>,<Null>,Fafan,ET0502,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.882516,0.028534
129,Polygon,Babile town,ET041000,<Null>,<Null>,<Null>,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.072581,0.000279
130,Polygon,Babo,ET040111,<Null>,<Null>,<Null>,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.56621,0.07394
131,Polygon,Badele Zuria,ET041622,<Null>,<Null>,<Null>,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.563785,0.061091
132,Polygon,Bahir Dar town,ET030712,<Null>,<Null>,<Null>,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.998165,0.017691
133,Polygon,Bahirdar Zuria,ET030702,<Null>,<Null>,<Null>,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.992961,0.119628
134,Polygon,Bako Tibe,ET040506,<Null>,<Null>,<Null>,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.244617,0.052565
135,Polygon,Bambasi,ET060305,<Null>,<Null>,<Null>,Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.134641,0.122646
136,Polygon,Banja,ET030902,<Null>,<Null>,<Null>,Awi,ET0309,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.799264,0.039695
137,Polygon,Barey,ET050807,<Null>,<Null>,<Null>,Afder,ET0508,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.918125,0.500923
138,Polygon,Basketo SP Woreda,ET071601,<Null>,<Null>,<Null>,Basketo,ET0716,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.082053,0.03356
139,Polygon,Baso Liben,ET030611,<Null>,<Null>,<Null>,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.486414,0.094469
140,Polygon,Basona Worena,ET030519,<Null>,<Null>,<Null>,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,3.193705,0.100138
